section,property,col:0,col:1,col:2,col:3,col:4
,Model,SUN-29.9K-SG01HP3-EU-BM3,SUN-30K-SG01HP3-EU-BM3,SUN-35K-SG01HP3-EU-BM3,SUN-40K-SG01HP3-EU-BM4,SUN-50K-SG01HP3-EU-BM4
Battery Input Data,Battery Type,Lithium-ion,Lithium-ion,Lithium-ion,Lithium-ion,Lithium-ion
,Battery Voltage Range (V),160~800,160~800,160~800,160~800,160~800
,Max. Charging Current (A),50+50,50+50,50+50,50+50,50+50
,Max. Discharging Current (A),50+50,50+50,50+50,50+50,50+50
,Number of battery input,2,2,2,2,2
,Charging Strategy for Li-Ion Battery,Self-adaption to BMS,Self-adaption to BMS,Self-adaption to BMS,Self-adaption to BMS,Self-adaption to BMS
PV String Input Data,Max. DC Input Power (W),38870,39000,45500,52000,65000
,Max. DC Input Voltage (V),1000,1000,1000,1000,1000
,Start-up Voltage (V),180,180,180,180,180
,MPPT Range (V),150-850,150-850,150-850,150-850,150-850
,Full Load DC Voltage Range (V),360-850,360-850,360-850,360-850,450-850
,Rated DC Input Voltage (V),600,600,600,600,600
,PV Input Current (A),36+36+36,36+36+36,36+36+36,36+36+36+36,36+36+36+36
,Max. PV I     (A),55+55+55,55+55+55,55+55+55,55+55+55+55,55+55+55+55
,No.of MPP Trackers,3,3,3,4,4
,No.of Strings per MPP Tracker,2,2,2,2,2
AC Output Data,Rated AC Output and UPS Power (W),29900,30000,35000,40000,50000
,Max. AC Output Power (W),29900,33000,38500,44000,55000
,AC Output Rated Current (A),45.4/43.4,45.5/43.5,53.1/50.8,60.7/58,75.8/72.5
,Max. AC Output Rated Current (A),45.4/43.4,50/47.8,58.4/55.8,66.7/63.8,83.4/79.7
,Max. Three-phase Unbalanced Output Current,60,60,60,70,83.3
,Max. Continuous AC Passthrough (A),200,200,200,200,200
,Peak Power (oﬀ grid),"1.5 time of rated power, 10 S","1.5 time of rated power, 10 S","1.5 time of rated power, 10 S","1.5 time of rated power, 10 S","1.5 time of rated power, 10 S"
Generator input/Smart load,/AC couple current (A),45.4 / 200 / 45.4,45.5 / 200 / 45.5,53.1 / 200 / 53.1,60.7 / 200 /  60.7,75.8 / 200 / 75.8
,Power Factor,0.8 leading to 0.8 lagging,0.8 leading to 0.8 lagging,0.8 leading to 0.8 lagging,0.8 leading to 0.8 lagging,0.8 leading to 0.8 lagging
,Output Frequency and Voltage,"50/60Hz; 3L/N/PE  220/380, 230/400Vac","50/60Hz; 3L/N/PE  220/380, 230/400Vac","50/60Hz; 3L/N/PE  220/380, 230/400Vac","50/60Hz; 3L/N/PE  220/380, 230/400Vac","50/60Hz; 3L/N/PE  220/380, 230/400Vac"
,Grid Type,Three Phase,Three Phase,Three Phase,Three Phase,Three Phase
,Total Harmonic Distortion (THD),<3% (of nominal power),<3% (of nominal power),<3% (of nominal power),<3% (of nominal power),<3% (of nominal power)
,DC current injection,<0.5% In,<0.5% In,<0.5% In,<0.5% In,<0.5% In
Eﬃciency,Max. Eﬃciency,97.60%,97.60%,97.60%,97.60%,97.60%
,Euro Eﬃciency,97.00%,97.00%,97.00%,97.00%,97.00%
,MPPT Eﬃciency,99.90%,99.90%,99.90%,99.90%,99.90%
Protection,Integrated,"PV Input Lightning Protection, Anti-islanding Protection, PV String Input Reverse Polarity Protection, Insulation Resistor Detection, Residual Current Monitoring Unit, Output Over Current Protection, Output Shorted Protection, Surge protection","PV Input Lightning Protection, Anti-islanding Protection, PV String Input Reverse Polarity Protection, Insulation Resistor Detection, Residual Current Monitoring Unit, Output Over Current Protection, Output Shorted Protection, Surge protection","PV Input Lightning Protection, Anti-islanding Protection, PV String Input Reverse Polarity Protection, Insulation Resistor Detection, Residual Current Monitoring Unit, Output Over Current Protection, Output Shorted Protection, Surge protection","PV Input Lightning Protection, Anti-islanding Protection, PV String Input Reverse Polarity Protection, Insulation Resistor Detection, Residual Current Monitoring Unit, Output Over Current Protection, Output Shorted Protection, Surge protection","PV Input Lightning Protection, Anti-islanding Protection, PV String Input Reverse Polarity Protection, Insulation Resistor Detection, Residual Current Monitoring Unit, Output Over Current Protection, Output Shorted Protection, Surge protection"
,Output Over Voltage Protection,DC Type II/AC Type III,DC Type II/AC Type III,DC Type II/AC Type III,DC Type II/AC Type III,DC Type II/AC Type III
Certiﬁcations and Standards,Grid Regulation,"VDE4105, IEC61727/62116, VDE0126, AS4777.2, CEI 0 21, EN50549-1, G98, G99, C10-11, UNE217002, NBR16149/NBR16150","VDE4105, IEC61727/62116, VDE0126, AS4777.2, CEI 0 21, EN50549-1, G98, G99, C10-11, UNE217002, NBR16149/NBR16150","VDE4105, IEC61727/62116, VDE0126, AS4777.2, CEI 0 21, EN50549-1, G98, G99, C10-11, UNE217002, NBR16149/NBR16150","VDE4105, IEC61727/62116, VDE0126, AS4777.2, CEI 0 21, EN50549-1, G98, G99, C10-11, UNE217002, NBR16149/NBR16150","VDE4105, IEC61727/62116, VDE0126, AS4777.2, CEI 0 21, EN50549-1, G98, G99, C10-11, UNE217002, NBR16149/NBR16150"
,Safety EMC / Standard,"IEC/EN 61000-6-1/2/3/4, IEC/EN 62109-1, IEC/EN 62109-2","IEC/EN 61000-6-1/2/3/4, IEC/EN 62109-1, IEC/EN 62109-2","IEC/EN 61000-6-1/2/3/4, IEC/EN 62109-1, IEC/EN 62109-2","IEC/EN 61000-6-1/2/3/4, IEC/EN 62109-1, IEC/EN 62109-2","IEC/EN 61000-6-1/2/3/4, IEC/EN 62109-1, IEC/EN 62109-2"
General Data,Operating Temperature Range (℃),"-40~60℃, >45℃ derating","-40~60℃, >45℃ derating","-40~60℃, >45℃ derating","-40~60℃, >45℃ derating","-40~60℃, >45℃ derating"
,Cooling,Smart cooling,Smart cooling,Smart cooling,Smart cooling,Smart cooling
,Noise (dB),≤65 dB,≤65 dB,≤65 dB,≤65 dB,≤65 dB
,Communication with BMS,RS485; CAN,RS485; CAN,RS485; CAN,RS485; CAN,RS485; CAN
,Weight (kg),75,75,75,75,75
,Size (mm),527W×894H×294D,527W×894H×294D,527W×894H×294D,527W×894H×294D,527W×894H×294D
,Protection Degree,IP65,IP65,IP65,IP65,IP65
,Installation Style,Wall-mounted,Wall-mounted,Wall-mounted,Wall-mounted,Wall-mounted
,Warranty,5 years,5 years,5 years,5 years,5 years
