section,property,col:0,col:1,col:2,col:3,col:4
,Model,SUN-3.6K-SG05LP1-EU,SUN-5K-SG05LP1-EU,SUN-6K-SG05LP1-EU,SUN-7.6K-SG05LP1-EU,SUN-8K-SG05LP1-EU
Battery Input Data,Battery Type,Lead-acid or Li-lon,Lead-acid or Li-lon,Lead-acid or Li-lon,Lead-acid or Li-lon,Lead-acid or Li-lon
,Battery Voltage Range (V),40~60,40~60,40~60,40~60,40~60
,Max. Charging Current (A),90,120,135,190,190
,Max. Discharging Current (A),90,120,135,190,190
,External Temperature Sensor,Yes,Yes,Yes,Yes,Yes
,Charging Curve,3 Stages / Equalization,3 Stages / Equalization,3 Stages / Equalization,3 Stages / Equalization,3 Stages / Equalization
,Charging Strategy for Li-Ion Battery,Self-adaption to BMS,Self-adaption to BMS,Self-adaption to BMS,Self-adaption to BMS,Self-adaption to BMS
PV String Input Data,Max. DC Input Power (W),4680,6500,7800,9880,10400
,Rated PV Input Voltage (V),370 (125~500),370 (125~500),370 (125~500),370 (125~500),370 (125~500)
,Start-up Voltage (V),125,125,125,125,125
,MPPT Voltage Range (V),150-425,150-425,150-425,150-425,150-425
,Full Load DC Voltage Range (V),300-425,300-425,300-425,200-425,200-425
,PV Input Current (A),13+13,13+13,13+13,26+26,26+26
,Max. PV I     (A),17+17,17+17,17+17,34+34,34+34
,No.of MPP Trackers,2,2,2,2,2
,No.of Strings per MPP Tracker,1,1,1,2,2
AC Output Data,Rated AC Output and UPS Power (W),3600,5000,6000,7600,8000
,Max. AC Output Power (W),3690,5500,6600,8360,8800
,AC Output Rated Current (A),16.4/15.7,22.7/21.7,27.3/26.1,34.5/33,36.4/34.8
,Max. AC Current (A),18/17.2,25/23.9,30/28.7,38/36.3,40/38.3
,Max. Continuous AC Passthrough (A),35,35,40,50,50
,Peak Power (oﬀ grid),"2 time of rated power, 10 S","2 time of rated power, 10 S","2 time of rated power, 10 S","2 time of rated power, 10 S","2 time of rated power, 10 S"
,Power Factor,0.8 leading to 0.8 lagging,0.8 leading to 0.8 lagging,0.8 leading to 0.8 lagging,0.8 leading to 0.8 lagging,0.8 leading to 0.8 lagging
