section,property,col:0,col:1,col:2,col:3,col:4,col:5,col:6
,Datasheet,MIN 2500TL-XH,MIN 3000TL-XH,MIN 3600TL-XH,MIN 4200TL-XH,MIN 4600TL-XH,MIN 5000TL-XH,MIN 6000TL-XH
Input data (DC),Max. recommended PV power (for module STC),5000W,6000W,7200W,8400W,9200W,10000W,10000W
,Max. DC voltage,500V,500V,550V,550V,550V,550V,550V
,Start voltage,100V,100V,100V,100V,100V,100V,100V
,Nominal voltage,360V,360V,360V,360V,360V,360V,360V
,MPP voltage range,70V-500V,70V-500V,70V-550V,70V-550V,70V-550V,70V-550V,70V-550V
,No. of MPP trackers/strings per MPP tracker,2     /1,2     /1,2     /1,2     /1,2     /1,2     /1,2     /1
,Max. input current per MPP tracker,13.5A,13.5A,13.5A,13.5A,13.5A,13.5A,13.5A
,Max. short-circuit current per MPP trackers,16.9A,16.9A,16.9A,16.9A,16.9A,16.9A,16.9A
Input data (DC battery),Compatible battery,ARK XH Battery System (5.12kWh~17.9kWh),ARK XH Battery System (5.12kWh~17.9kWh),ARK XH Battery System (5.12kWh~17.9kWh),ARK XH Battery System (5.12kWh~17.9kWh),ARK XH Battery System (5.12kWh~17.9kWh),ARK XH Battery System (5.12kWh~17.9kWh),ARK XH Battery System (5.12kWh~17.9kWh)
,Operating voltage range,360-500V,360-500V,360-550V,360-550V,360-550V,360-550V,360-550V
,Max.operating current,17A,17A,17A,17A,17A,17A,17A
,Max.charge power,6000W,6000W,6000W,6000W,6000W,6000W,6000W
,Max.discharge power,2500W,3000W,3600W,4200W,4600W,5000W,6000W
Output data (AC),Max. AC apparent power,2500VA,3000VA,3600VA,4200VA,4600VA,5000VA,6000VA
,Nominal AC voltage(range*),230V (180-280V),230V (180-280V),230V (180-280V),230V (180-280V),230V (180-280V),230V (180-280V),230V (180-280V)
,AC grid frequency(range*),50/60 Hz (45-55Hz/55-65 Hz),50/60 Hz (45-55Hz/55-65 Hz),50/60 Hz (45-55Hz/55-65 Hz),50/60 Hz (45-55Hz/55-65 Hz),50/60 Hz (45-55Hz/55-65 Hz),50/60 Hz (45-55Hz/55-65 Hz),50/60 Hz (45-55Hz/55-65 Hz)
,Max. output current,11.3A,13.6A,16A,19A,20.9A,22.7A,27.2A
,Adjustable power factor,0.8leading…0.8lagging,0.8leading…0.8lagging,0.8leading…0.8lagging,0.8leading…0.8lagging,0.8leading…0.8lagging,0.8leading…0.8lagging,0.8leading…0.8lagging
,THDi,3%,3%,3%,3%,3%,3%,3%
,AC grid connection type,Single phase,Single phase,Single phase,Single phase,Single phase,Single phase,Single phase
Output data (Backup*),Max. apparent power,2500VA,3000VA,3600VA,4200VA,4600VA,5000VA,6000VA
,Nominal AC voltage,230V,230V,230V,230V,230V,230V,230V
,AC grid frequency,50/60Hz,50/60Hz,50/60Hz,50/60Hz,50/60Hz,50/60Hz,50/60Hz
Efficiency,Max.efficiency,98.2%,98.2%,98.2%,98.4%,98.4%,98.4%,98.4%
,European efficiency,97.1%,97.1%,97.2%,97.2%,97.5%,97.5%,97.5%
,MPPT efficiency,99.9%,99.9%,99.9%,99.9%,99.9%,99.9%,99.9%
