section,property,col:0,col:1,col:2,col:3,col:4
,Datasheet,MOD 10KTL3-X,MOD 11KTL3-X,MOD 12KTL3-X,MOD 13KTL3-X,MOD 15KTL3-X
Input data (DC),Max. recommended PV power (for module STC),15000W,16500W,18000W,19500W,22500W
,Max. DC voltage,1100V,1100V,1100V,1100V,1100V
,Start voltage,160V,160V,160V,160V,160V
,Nominal voltage,580V,580V,580V,580V,580V
,MPPT voltage range,140V-1000V,140V-1000V,140V-1000V,140V-1000V,140V-1000V
,No. of MPP trackers,2,2,2,2,2
,No. of PV strings per MPP tracker,1,1,1/2,1/2,1/2
,Max. input current per MPP tracker,13A,13A,13/26A,13/26A,13/26A
,Max. short-circuit current per MPP tracker,16A,16A,16/32A,16/32A,16/32A
Output data (AC),AC nominal power,10000W,11000W,12000W,13000W,15000W
,Max. AC apparent power,11000VA*,12100VA,13200VA,14300VA,16500VA
,Nominal AC voltage（range*）,"220V/380V, 230V/400V  (340-440V)","220V/380V, 230V/400V  (340-440V)","220V/380V, 230V/400V  (340-440V)","220V/380V, 230V/400V  (340-440V)","220V/380V, 230V/400V  (340-440V)"
,AC grid frequency（range*）,50/60 Hz (45-55Hz/55-65 Hz),50/60 Hz (45-55Hz/55-65 Hz),50/60 Hz (45-55Hz/55-65 Hz),50/60 Hz (45-55Hz/55-65 Hz),50/60 Hz (45-55Hz/55-65 Hz)
,Max. output current,16.7A,18.3A,20A,21.7A,25A
,Adjustable power factor,0.8leading…0.8lagging,0.8leading…0.8lagging,0.8leading…0.8lagging,0.8leading…0.8lagging,0.8leading…0.8lagging
,THDi,3%,3%,3%,3%,3%
,AC grid connection type,3W+N+PE,3W+N+PE,3W+N+PE,3W+N+PE,3W+N+PE
Efficiency,MAX. efficiency,98.6%,98.6%,98.6%,98.6%,98.6%
,European efficiency,98.1%,98.1%,98.2%,98.2%,98.2%
,MPPT efficiency,99.9%,99.9%,99.9%,99.9%,99.9%
Protection devices,DC reverse polarity protection,Yes,Yes,Yes,Yes,Yes
,DC Switch,Yes,Yes,Yes,Yes,Yes
,AC/DC surge protection,Type II / Type II,Type II / Type II,Type II / Type II,Type II / Type II,Type II / Type II
,Insulation resistance monitoring,Yes,Yes,Yes,Yes,Yes
,AC short-circuit protection,Yes,Yes,Yes,Yes,Yes
,Ground fault monitoring,Yes,Yes,Yes,Yes,Yes
,Grid monitoring,Yes,Yes,Yes,Yes,Yes
,Anti-islanding protection,Yes,Yes,Yes,Yes,Yes
,Residual-current monitoring unit,Yes,Yes,Yes,Yes,Yes
,String fault monitoring,Yes,Yes,Yes,Yes,Yes
,AFCI protection,Optional,Optional,Optional,Optional,Optional
General data,Dimensions (W / H / D),425/387/178mm,425/387/178mm,425/387/178mm,425/387/178mm,425/387/178mm
,Weight,14kg,14kg,16kg,16kg,16kg
,Operating temperature range,–25°C ... +60°C,–25°C ... +60°C,–25°C ... +60°C,–25°C ... +60°C,–25°C ... +60°C
,Nighttime power consumption,1W,1W,1W,1W,1W
,Topology,Transformerless,Transformerless,Transformerless,Transformerless,Transformerless
,Cooling,Natural convection,Natural convection,Natural convection,Natural convection,Natural convection
,Protection degree,IP66,IP66,IP66,IP66,IP66
,Relative humidity,0~100%,0~100%,0~100%,0~100%,0~100%
,Altitude,4000m,4000m,4000m,4000m,4000m
,DC connection,H4/MC4(Optional),H4/MC4(Optional),H4/MC4(Optional),H4/MC4(Optional),H4/MC4(Optional)
,AC connection,Connector,Connector,Connector,Connector,Connector
,Display,OLED+LED/WIFI+APP,OLED+LED/WIFI+APP,OLED+LED/WIFI+APP,OLED+LED/WIFI+APP,OLED+LED/WIFI+APP
,Interfaces: USB/RS485/WIFI /GPRS//LAN/RF,yes/yes/Optional/Optional/Optional/Optional,yes/yes/Optional/Optional/Optional/Optional,yes/yes/Optional/Optional/Optional/Optional,yes/yes/Optional/Optional/Optional/Optional,yes/yes/Optional/Optional/Optional/Optional
,Warranty: 5 / 10 years,Yes/Optional,Yes/Optional,Yes/Optional,Yes/Optional,Yes/Optional
